Filename,ID,mge_params,fasta_header,sample_taxid,ref_accession,ref_rank,n_reads_in,n_reads_aligned,n_reads_skipped,ref_length,cov_min,cov_max,cov_avg,cov_med,cleaning_removed_human,cleaning_removed_at,cleaning_removed_outlier,cleaning_removed_reference,cleaning_ambig_bases,cleaning_cov_percent
ILECA1436-25_r_1.3_s_50_ILECA1436-25_fcleaner,ILECA1436-25,r_1.3_s_50_fcleaner,>ILECA1436-25_r_1.3_s_50_ILECA1436-25_fcleaner,2561109,QUQ05862.1,genus:Coleophora,null,1343,null,null,35.0,134.0,86.17,86.0,0,316,44,0,0,100.0
ILECA1438-25_r_1.5_s_100_ILECA1438-25_fcleaner,ILECA1438-25,r_1.5_s_100_fcleaner,>ILECA1438-25_r_1.5_s_100_ILECA1438-25_fcleaner,2561109,QUQ05862.1,genus:Coleophora,null,5079,null,null,132.0,577.0,365.59,363.0,0,81,63,0,0,100.0
ILECA1489-25_r_1.3_s_50_ILECA1489-25_fcleaner,ILECA1489-25,r_1.3_s_50_fcleaner,>ILECA1489-25_r_1.3_s_50_ILECA1489-25_fcleaner,2561109,QUQ05862.1,genus:Coleophora,null,1467,null,null,21.0,185.0,112.29,105.0,0,163,27,0,0,100.0
ILECA1512-25_r_1.5_s_50_ILECA1512-25_fcleaner,ILECA1512-25,r_1.5_s_50_fcleaner,>ILECA1512-25_r_1.5_s_50_ILECA1512-25_fcleaner,2561109,QUQ05862.1,genus:Coleophora,null,1475,null,null,63.0,164.0,112.38,115.0,0,212,29,0,0,100.0
ILECA1504-25_r_1.5_s_100_ILECA1504-25_fcleaner,ILECA1504-25,r_1.5_s_100_fcleaner,>ILECA1504-25_r_1.5_s_100_ILECA1504-25_fcleaner,2561109,QUQ05862.1,genus:Coleophora,null,1860,null,null,39.0,253.0,130.47,122.5,0,54,25,0,0,100.0
ILECA1439-25_r_1.3_s_50_ILECA1439-25_fcleaner,ILECA1439-25,r_1.3_s_50_fcleaner,>ILECA1439-25_r_1.3_s_50_ILECA1439-25_fcleaner,2561109,QUQ05862.1,genus:Coleophora,null,307,null,null,12.0,41.0,23.1,23.0,0,29,9,0,0,100.0
ILECA1509-25_r_1.3_s_50_ILECA1509-25_fcleaner,ILECA1509-25,r_1.3_s_50_fcleaner,>ILECA1509-25_r_1.3_s_50_ILECA1509-25_fcleaner,1869668,QUQ05862.1,genus:Coleophora,null,3801,null,null,253.0,413.0,318.23,313.0,0,405,55,0,0,100.0
ILECA1479-25_r_1.3_s_100_ILECA1479-25_fcleaner,ILECA1479-25,r_1.3_s_100_fcleaner,>ILECA1479-25_r_1.3_s_100_ILECA1479-25_fcleaner,2561109,QUQ05862.1,genus:Coleophora,null,739,null,null,13.0,109.0,54.52,54.0,0,34,10,0,0,100.0
ILECA1491-25_r_1.5_s_100_ILECA1491-25_fcleaner,ILECA1491-25,r_1.5_s_100_fcleaner,>ILECA1491-25_r_1.5_s_100_ILECA1491-25_fcleaner,1869665,QUQ05862.1,genus:Coleophora,null,827,null,null,16.0,89.0,60.55,62.5,0,34,12,0,0,100.0
ILECA1515-25_r_1.3_s_50_ILECA1515-25_fcleaner,ILECA1515-25,r_1.3_s_50_fcleaner,>ILECA1515-25_r_1.3_s_50_ILECA1515-25_fcleaner,3137949,QUQ05862.1,genus:Coleophora,null,739,null,null,16.0,72.0,41.03,40.0,0,90,14,0,0,100.0
