Filename,Process ID,n_reads,n_aligned,skipped_reads_low_rel,length,cov_min,cov_max,cov_avg,cov_med
BGSNL776-24_r_1_s_50_BGSNL776-24,BGSNL776-24,4218482,3137,45,1533,28.0,306.0,118.61448140900195,109.0
BGSNL761-24_r_1.5_s_50_BGSNL761-24,BGSNL761-24,1322970,193,174,1506,0.0,28.0,7.370517928286852,6.0
BGSNL824-24_r_1.3_s_100_BGSNL824-24,BGSNL824-24,7953224,1880,7,1533,21.0,167.0,105.78473581213308,104.0
BGSNL837-24_r_1.3_s_100_BGSNL837-24,BGSNL837-24,8171981,1743,17,1530,44.0,175.0,93.06666666666666,88.0
BGSNL841-24_r_1.3_s_100_BGSNL841-24,BGSNL841-24,7291194,945,50,1512,15.0,94.0,52.10912698412698,51.0
BGSNL852-24_r_1_s_50_BGSNL852-24,BGSNL852-24,7895791,2084,1,1530,51.0,181.0,112.71176470588236,111.0
BGSNL814-24_r_1.5_s_100_BGSNL814-24,BGSNL814-24,7029909,978,2,1533,15.0,130.0,50.29941291585127,45.0
BGSNL854-24_r_1_s_50_BGSNL854-24,BGSNL854-24,3344022,191,37,1530,0.0,23.0,6.764705882352941,6.0
BGSNL763-24_r_1_s_50_BGSNL763-24,BGSNL763-24,9001373,1359,131,1506,42.0,106.0,78.45219123505976,79.0
BGSNL809-24_r_1_s_50_BGSNL809-24,BGSNL809-24,8743024,6298,28,1533,242.0,553.0,371.0058708414873,365.0
BGSNL804-24_r_1_s_50_BGSNL804-24,BGSNL804-24,6900068,339,11,1530,1.0,60.0,13.368627450980393,11.0
BGSNL838-24_r_1_s_50_BGSNL838-24,BGSNL838-24,8998437,2181,39,1530,25.0,202.0,89.1843137254902,84.0
BGSNL853-24_r_1.3_s_100_BGSNL853-24,BGSNL853-24,5822516,739,36,1530,20.0,79.0,40.13725490196079,37.0
BGSNL762-24_r_1_s_100_BGSNL762-24,BGSNL762-24,3434941,352,134,1506,2.0,44.0,18.91434262948207,19.0
BGSNL808-24_r_1_s_50_BGSNL808-24,BGSNL808-24,8038388,2242,11,1533,67.0,163.0,112.21722113502935,108.0
BGSNL781-24_r_1.5_s_100_BGSNL781-24,BGSNL781-24,6594685,692,135,1533,4.0,68.0,32.94716242661448,34.0
BGSNL805-24_r_1_s_50_BGSNL805-24,BGSNL805-24,7976482,1503,23,1530,30.0,128.0,68.91960784313726,66.0
BGSNL799-24_r_1.5_s_50_BGSNL799-24,BGSNL799-24,8694677,5207,110,1530,150.0,446.0,272.42549019607844,270.0
BGSNL854-24_r_1.3_s_100_BGSNL854-24,BGSNL854-24,3344022,20,37,1530,0.0,9.0,1.0470588235294118,0.0
BGSNL790-24_r_1_s_100_BGSNL790-24,BGSNL790-24,7748728,4029,88,1530,118.0,409.0,244.99607843137255,233.0
BGSNL831-24_r_1_s_50_BGSNL831-24,BGSNL831-24,2411951,1696,65,1530,48.0,145.0,92.18039215686275,91.0
BGSNL840-24_r_1.3_s_100_BGSNL840-24,BGSNL840-24,7509879,1064,3,1512,25.0,95.0,57.15277777777778,56.0
BGSNL832-24_r_1_s_50_BGSNL832-24,BGSNL832-24,1470582,169,80,1530,0.0,33.0,9.08235294117647,7.0
BGSNL772-24_r_1.3_s_50_BGSNL772-24,BGSNL772-24,5895159,1778,3,1533,39.0,137.0,80.7573385518591,76.0
BGSNL816-24_r_1.3_s_100_BGSNL816-24,BGSNL816-24,7859310,1059,59,1533,18.0,135.0,54.534246575342465,50.0
BGSNL822-24_r_1_s_100_BGSNL822-24,BGSNL822-24,7793832,1617,97,1533,55.0,171.0,98.67123287671232,97.0
BGSNL843-24_r_1.5_s_50_BGSNL843-24,BGSNL843-24,7114354,3591,1,1533,72.0,308.0,163.2133072407045,157.0
